Team 1,Goal Scored 1,Ball Possession % 1,Attempts 1,On-Target 1,Off-Target 1,Blocked 1,Corners 1,Offsides 1,Free Kicks 1,Saves 1,Pass Accuracy % 1,Passes 1,Distance Covered (Kms) 1,Fouls Committed 1,Yellow Card 1,Yellow & Red 1,Red 1,1st Goal 1,PSO 1,Goals in PSO 1,Own goals 1,Own goal Time 1,Team 2,Goal Scored 2,Attempts 2,On-Target 2,Off-Target 2,Blocked 2,Corners 2,Offsides 2,Free Kicks 2,Saves 2,Pass Accuracy % 2,Passes 2,Distance Covered (Kms) 2,Fouls Committed 2,Yellow Card 2,Yellow & Red 2,Red 2,1st Goal 2,PSO 2,Goals in PSO 2,Own goals 2,Own goal Time 2,Date,Round,Man of the Match
21,1,57,10,4,5,1,3,3,18,1,88,552,110,8,1,0,0,37.0,0,0,1.0,37.0,25,2,8,2,4,2,3,3,11,3,81,328,107,15,2,0,0,60.0,0,0,0.0,0.0,6,1,0
23,3,47,11,3,5,3,7,0,10,0,76,380,115,11,1,0,0,59.0,0,0,0.0,0.0,8,1,13,1,8,4,4,0,11,1,81,438,110,10,1,0,0,47.0,0,0,1.0,47.0,6,1,1
22,1,47,10,2,4,4,5,1,24,4,76,387,105,19,1,0,0,4.0,0,0,0.0,0.0,17,0,16,4,10,2,7,1,20,1,77,466,107,23,1,0,0,0.0,0,0,0.0,0.0,7,1,1
31,1,47,13,4,6,3,3,1,15,3,88,521,101,10,0,0,0,23.0,0,0,0.0,0.0,24,0,8,3,3,2,4,2,11,3,86,590,100,13,0,0,0,0.0,0,0,0.0,0.0,7,1,1
13,0,30,5,0,5,0,2,2,15,2,69,219,106,14,2,0,0,0.0,0,0,0.0,0.0,27,1,17,3,6,8,6,1,16,0,89,805,105,14,0,0,0,54.0,0,0,0.0,0.0,7,1,0
7,1,49,10,5,5,0,3,1,5,4,88,458,112,7,2,0,0,7.0,0,0,0.0,0.0,1,1,14,5,5,4,5,0,8,5,85,520,114,5,0,0,0,38.0,0,0,0.0,0.0,8,1,1
10,1,44,12,4,6,2,5,0,16,2,77,405,103,11,2,0,0,34.0,0,0,0.0,0.0,20,0,10,2,6,2,3,1,11,3,81,532,102,15,2,0,0,0.0,0,0,0.0,0.0,8,1,1
0,0,58,10,3,3,4,5,3,26,2,81,505,101,15,3,0,0,0.0,0,0,0.0,0.0,6,3,15,5,6,4,2,3,18,3,80,372,104,23,4,0,0,53.0,0,0,0.0,0.0,8,1,0
3,2,66,23,9,9,5,10,3,14,0,90,732,105,11,2,0,0,90.0,0,0,0.0,0.0,5,0,4,0,4,0,1,3,14,7,73,271,109,11,1,0,0,0.0,0,0,0.0,0.0,9,1,1
18,2,58,16,4,6,6,6,1,10,3,84,473,100,9,1,0,0,49.0,0,0,0.0,0.0,12,0,10,3,6,1,5,0,10,2,75,291,106,10,0,0,0,0.0,0,0,0.0,0.0,9,1,1
